prov,time,gdp,pergdp,ei,fdi,il,lnpergdp,ui,pilot,post,cross,lnlctfp,lnlci,eps
广西壮族自治区,2015,16803.12,35190.0,0.5835820966582397,0.01342576259647018,0.4592909,10.46851723031563,0.4706,0,1,0,-0.6348782724359695,7.8009820712577405,8.509161019718974
广西壮族自治区,2016,18317.64,38027.0,0.5519269949622332,0.011651064220063283,0.4517,10.546051712719995,0.4808,0,1,0,-0.7133498878774648,7.958227192322312,8.563504094279487
四川省,2008,12506.25,15378.0,1.211000051974013,0.017159420289855072,0.46299999999999997,9.640693195592126,0.374,0,0,0,-0.5621189181535413,2.6390573296152584,8.6020856584342
四川省,2009,14151.28,17339.0,1.1533760472550894,0.017955972887258254,0.474,9.760713578544673,0.387,0,0,0,-0.5621189181535413,3.5553480614894135,8.74209519574531
四川省,2010,17185.48,21182.0,1.0411013419468063,0.018509811771332544,0.505,9.960907043403614,0.4018,0,0,0,-0.527632742082372,3.912023005428146,9.075093222568157
四川省,2011,21026.68,26133.0,0.9367236444364969,0.014415019394407487,0.525,10.170954162487002,0.418,0,0,0,-0.4620354595965587,4.356708826689592,9.09862638234618
四川省,2012,23872.8,29608.0,0.8618594119667572,0.017744043430179955,0.517,10.295799874065992,0.4353,0,0,0,-0.4780358009429998,4.68213122712422,8.973858256222792
四川省,2013,26260.77,32454.0,0.7315855551836447,0.016393274073837134,0.517,10.387578981099482,0.449,0,1,0,-0.5108256237659907,4.804021044733257,9.06750872286864
四川省,2014,28536.66,35128.0,0.6966127080043705,0.012415608554049423,0.489,10.466753812241553,0.46299999999999997,0,1,0,-0.579818495252942,4.605170185988092,9.13938128303569
四川省,2015,30053.1,36775.0,0.6091218543178574,0.01112256306337782,0.4408224,10.512573545469639,0.4769,0,1,0,-0.616186139423817,4.990432586778736,9.141954459109717
四川省,2016,32934.54,40003.0,0.5694933039902789,0.010477450117718359,0.40840000000000004,10.596709730283713,0.4921,0,1,0,-0.7133498878774648,5.075173815233827,9.19806534110057
贵州省,2008,3333.4,8824.0,2.1251535129297414,0.009389812203755924,0.423,9.085230560933338,0.29109999999999997,0,0,0,-0.37106368139083207,5.493061443340548,7.932003152361385
贵州省,2009,3912.68,10309.0,1.933797215719149,0.013852397844955377,0.377,9.240772579096385,0.2989,0,0,0,-0.342490308946776,5.783825182329737,8.143807976771484
贵州省,2010,4602.16,13119.0,1.7764339831731188,0.0068228831679037665,0.391,9.48181684008103,0.3381,0,0,0,-0.342490308946776,6.416732282512326,8.361941906144946
贵州省,2011,5701.84,16413.0,1.5903375208704558,0.0045950079272655845,0.385,9.705828982731935,0.35,0,0,0,-0.35667494393873245,6.678342114654332,8.46252579007393
贵州省,2012,6852.2,19710.0,1.4416360993549517,0.004684626835177024,0.391,9.888881400146765,0.3641,0,0,0,-0.3856624808119846,7.114769448366463,8.533066540572527
贵州省,2013,8006.79,22922.0,1.1613892708563607,0.003434584896069461,0.405,10.039852427056644,0.37829999999999997,0,1,0,-0.40047756659712525,7.153833801578843,8.624970783589669
贵州省,2014,9266.39,26437.0,1.047765095144927,0.002751880721618667,0.41600000000000004,10.18251982308024,0.40009999999999996,0,1,0,-0.4620354595965587,7.1459844677143876,8.615951963439501
贵州省,2015,10502.56,29847.24776,0.8896878475343155,0.0015432618333054038,0.3949351,10.303847912224793,0.4201,0,1,0,-0.5447271754416722,7.497207223203318,8.60995467149755
贵州省,2016,11776.73,33246.0,0.8156763379987484,0.002311337697306468,0.39649999999999996,10.411689738095404,0.4415,0,1,0,-0.6348782724359695,7.848543482456679,8.609772372709331
云南省,2008,5700.1,12587.0,1.3176646181645935,0.0041753653444676405,0.43,9.440419814291506,0.33,0,0,0,-0.5621189181535413,6.2878585601617845,8.057377488557991
云南省,2009,6169.75,13539.0,1.3018455642449045,0.009238623931277605,0.419,9.51332968849511,0.34,0,0,0,-0.5447271754416722,6.546785410760524,8.163086375583216
云南省,2010,7224.18,15752.0,1.2007134456782638,0.0066443527154639,0.446,9.664722620318962,0.34700000000000003,0,0,0,-0.579818495252942,6.996681488176539,8.327967858305488
云南省,2011,8893.12,19265.0,1.0727708644435248,0.008298549890252239,0.425,9.866045257060257,0.368,0,0,0,-0.5621189181535413,7.21081845347222,8.500657222776137
云南省,2012,10309.47,22195.0,1.0120484564191952,0.0073815627767479805,0.429,10.007622317268135,0.3931,0,0,0,-0.527632742082372,7.640603826393634,8.603187384583098
云南省,2013,11720.91,25083.0,0.8593189436656369,0.007652989400993609,0.42,10.129945604818168,0.4048,0,1,0,-0.5108256237659907,7.920083199053234,8.612139668725192
云南省,2014,12814.59,27264.0,0.8158669141970207,0.005954150698539711,0.41200000000000003,10.213322429629041,0.41729999999999995,0,1,0,-0.5621189181535413,8.055157731819678,8.62998601889136
云南省,2015,13619.17,28806.0,0.7654651494914888,0.00299437484075755,0.3976836,10.268338977758996,0.43329999999999996,0,1,0,-0.616186139423817,8.37655086161377,8.607947554684701
云南省,2016,14788.42,31093.0,0.7252972258023508,0.003926721042545451,0.3848,10.344737992447081,0.45030000000000003,0,1,0,-0.6931471805599453,8.590257762273243,8.659039915644474
陕西省,2008,6851.32,18246.0,1.0826317176835996,0.008830415160874109,0.561,9.81170115690542,0.42100000000000004,0,0,0,-0.579818495252942,5.003946305945459,7.757478766584179
陕西省,2009,8169.8,21688.0,0.9845528605351416,0.0099145633920047,0.519,9.984514391178502,0.435,0,0,0,-0.5447271754416722,5.209486152841421,7.96346006663897
陕西省,2010,10123.48,27133.0,0.8773773297324635,0.009255710486907666,0.5379999999999999,10.208505978234776,0.4576,0,0,0,-0.5621189181535413,5.356586274672012,8.118802996980035
陕西省,2011,12512.3,33464.0,0.7800938780240244,0.00827186048927855,0.5539999999999999,10.418225513122035,0.473,0,0,0,-0.5447271754416722,5.44673737166631,8.265907334155747
陕西省,2012,14453.68,38564.0,0.7351560232411399,0.013173115773975902,0.5589999999999999,10.560074477784271,0.5002,0,0,0,-0.5447271754416722,5.87493073085203,8.32263709695394
陕西省,2013,16045.21,42692.0,0.6612565369976461,0.021732342549583335,0.555,10.661766828033855,0.5131,0,1,0,-0.5978370007556204,6.1224928095143865,8.365206834418355
陕西省,2014,17689.94,46929.0,0.634371852024371,0.024307600817187625,0.541,10.75639110022988,0.5257000000000001,0,1,0,-0.6931471805599453,6.369900982828227,8.369157112588834
陕西省,2015,18021.8609,47626.0,0.6517639918084153,0.023954684945992455,0.5039507,10.771134109583889,0.5392,0,1,0,-0.7339691750802004,6.782192056006791,8.392763113038061
陕西省,2016,19399.59,51015.0,0.626095706146367,0.019743716233178124,0.4892,10.839874986109406,0.5534,0,1,0,-0.7765287894989963,6.814542897259958,8.36799688505411
甘肃省,2008,3176.11,12110.0,1.6832943852700315,0.003998602063530545,0.46299999999999997,9.401786836547139,0.3215,0,0,0,-0.2876820724517809,5.700443573390687,7.893572073504902
甘肃省,2009,3387.56,12872.0,1.6181556311917724,0.0037785308599700084,0.451,9.46280968867222,0.3265,0,0,0,-0.31471074483970024,5.872117789475416,7.983098940710892
甘肃省,2010,4120.75,16113.0,1.4373907371230965,0.00436813686828854,0.48200000000000004,9.68738167857357,0.36119999999999997,0,0,0,-0.37106368139083207,6.324358962381311,8.057694194815587
