prov,time,gdp,pergdp,ei,fdi,il,lnpergdp,ui,pilot,post,cross,lnlctfp,lnlci,eps
山西省,2008,6938.73,20398.0,2.2591196069021278,0.005245916759983455,0.615,9.923192135810464,0.4511,0,0,0,-0.4620354595965587,5.272999558563747,7.764296006450518
山西省,2009,7358.31,21522.0,2.1167589609570676,0.00739300192571392,0.5429999999999999,9.976830946760337,0.45990000000000003,0,0,0,-0.4462871026284195,5.707110264748875,7.903596289614301
山西省,2010,9200.86,26283.0,1.8267890175483594,0.006879791671648084,0.569,10.176677621334473,0.4805,0,0,0,-0.4942963218147801,5.976350909297934,8.156797046675651
山西省,2011,11237.55,31357.0,1.629814277133361,0.007101191985797616,0.59,10.353192806623015,0.49700000000000005,0,0,0,-0.4620354595965587,5.958424693029782,8.141189793457691
山西省,2012,12112.83,33628.0,1.596289914908407,0.006290850280240044,0.556,10.423114332255187,0.5126,0,0,0,-0.4780358009429998,6.352629396319567,8.261268150577648
山西省,2013,12602.24,34813.0,1.5680545680767863,0.004792798740541364,0.539,10.45774615922359,0.5256000000000001,0,1,0,-0.579818495252942,6.4692503167957724,8.396831834745054
山西省,2014,12761.49,35070.0,1.556479690067539,0.005250170630545493,0.493,10.465101343134224,0.5379,0,1,0,-0.7339691750802004,6.5337888379333435,8.46252579007393
山西省,2015,12766.49,34918.71,1.4905428195220456,0.007505422398795597,0.40686750000000005,10.460778067690425,0.5503,0,1,0,-0.916290731874155,6.682108597449809,8.490849216076635
山西省,2016,13050.41,35532.0,1.4539006820475373,0.008410463732557062,0.38539999999999996,10.478188977889591,0.5621,0,1,0,-1.0216512475319814,6.785587645007929,8.51398806046729
吉林省,2008,6424.06,23514.0,1.1241107819665446,0.025560159774348307,0.47700000000000004,10.065351267427687,0.5321,0,0,0,-0.6348782724359695,5.594711379601839,7.826842098158293
吉林省,2009,7278.75,26595.0,1.0575677994161086,0.021954319079512282,0.48700000000000004,10.188478507176418,0.5332,0,0,0,-0.616186139423817,5.762051382780177,7.978310969867722
吉林省,2010,8667.58,31599.0,0.9572813507345765,0.017767358363003284,0.52,10.360880753504652,0.5335,0,0,0,-0.6348782724359695,6.0014148779611505,8.20166019080868
吉林省,2011,10568.83,38460.0,0.861310258562206,0.013634432572006552,0.531,10.55737401914277,0.534,0,0,0,-0.616186139423817,6.144185634125646,8.381144346952961
吉林省,2012,11939.24,43415.0,0.7909245806265726,0.013845102368324954,0.534,10.678560282494745,0.537,0,0,0,-0.616186139423817,6.369900982828227,8.330140460246382
吉林省,2013,12981.46,47191.0,0.6659497467927337,0.008211711163459272,0.528,10.76195847542619,0.542,0,1,0,-0.5621189181535413,6.501289670540389,8.40804774415544
吉林省,2014,13803.14,50160.0,0.6201487487629627,0.0059044536243202635,0.528,10.822973175306803,0.5481,0,1,0,-0.5978370007556204,6.431331081933479,8.53934599605737
吉林省,2015,14063.13,51086.0,0.4991776368418695,0.00660104116224482,0.4981615,10.841265766051706,0.5531,0,1,0,-0.5978370007556204,6.699500340161678,8.60813018640834
吉林省,2016,14776.8,53868.0,0.4660007579448866,0.010910345947701803,0.47409999999999997,10.894291888569933,0.5597,0,1,0,-0.6348782724359695,6.86171134048073,8.587465244401569
黑龙江省,2008,8310.0,21727.0,1.2008893682310469,0.007689530685920577,0.525,9.98631100573524,0.5539999999999999,0,0,0,-0.23572233352106983,6.19644412779452,7.94873845481361
黑龙江省,2009,8587.0,22447.0,1.2189007604518458,0.010725515313846511,0.473,10.018912253951546,0.555,0,0,0,-0.2613647641344075,6.234410725718371,8.083637203141548
黑龙江省,2010,10368.6,27076.0,1.0834158005902434,0.01160233782767201,0.502,10.206403005628498,0.5566,0,0,0,-0.35667494393873245,6.565264970035361,8.22121009392507
黑龙江省,2011,12582.0,32819.0,0.9631618089333969,0.007312033063106025,0.503,10.398762894953803,0.565,0,0,0,-0.342490308946776,6.658011045870748,8.285513309079741
黑龙江省,2012,13691.58,35711.0,0.9317989640348301,0.007997616053077878,0.441,10.48321404355681,0.569,0,0,0,-0.37106368139083207,6.838405200847344,8.310660905907225
黑龙江省,2013,14382.93,37509.0,0.82410190413219,0.004484482647137961,0.41100000000000003,10.532336183163109,0.574,0,1,0,-0.4462871026284195,6.940222469119639,8.463370384718731
黑龙江省,2014,15039.38,39226.0,0.7949130881725178,0.003377798818834287,0.369,10.577095071221457,0.5801,0,1,0,-0.527632742082372,6.983789965258135,8.493310250952906
黑龙江省,2015,15083.67,39461.56442,0.7361603641554078,0.0037119149384731965,0.3180977,10.583082424507918,0.588,0,1,0,-0.5978370007556204,7.338238150065589,8.545586265917455
黑龙江省,2016,15386.09,40432.0,0.7194810377425324,0.004773142494291922,0.28600000000000003,10.607376829627976,0.5920000000000001,0,1,0,-0.6539264674066639,7.4821189235521155,8.574518258035507
安徽省,2008,8874.17,14485.0,0.9381641021075773,0.0210498559301884,0.466,9.580868910203451,0.405,0,0,0,-0.7765287894989963,5.883322388488279,7.989221408815276
安徽省,2009,10062.82,16408.0,0.8840366070346087,0.019080138569506362,0.48700000000000004,9.705524299752216,0.42100000000000004,0,0,0,-0.7765287894989963,6.396929655216146,8.13739583005665
安徽省,2010,12359.33,20888.0,0.7853662455812734,0.016942665985939367,0.521,9.946930110378965,0.4301,0,0,0,-0.7765287894989963,6.7912214627261855,8.344029572407049
安徽省,2011,15300.65,25659.0,0.6908355723449657,0.014509187518177332,0.5429999999999999,10.152649666248891,0.44799999999999995,0,0,0,-0.7133498878774648,7.292337176173877,8.471358655072438
安徽省,2012,17212.05,28792.0,0.6598835170708893,0.02010219584535253,0.546,10.267852849758867,0.465,0,0,0,-0.6931471805599453,7.743269700829004,8.481566013773087
安徽省,2013,19038.87,31684.0,0.6143221735323577,0.015772994930896636,0.546,10.36356710058417,0.47859999999999997,0,1,0,-0.7339691750802004,7.991592282068092,8.533066540572527
安徽省,2014,20848.75,34425.0,0.5761016847532826,0.014422927033994844,0.531,10.446538323596856,0.4915,0,1,0,-0.8209805520698302,8.38776764397578,8.593042503699674
安徽省,2015,22005.63,35996.56412,0.558993312166023,0.012093364289047847,0.49745579999999995,10.491178771772343,0.505,0,1,0,-0.8915981192837836,8.704502289721232,8.604654467186231
安徽省,2016,24407.62,39561.0,0.5188133869668571,0.009286444151457619,0.4843,10.585599063475808,0.5199,0,1,0,-0.9942522733438669,9.042394981126735,8.68676717538769
江西省,2008,6480.33,14781.0,0.8306620851098633,0.03492106111880105,0.527,9.601097851212073,0.41359999999999997,0,0,0,-0.4155154439616658,4.976733742420574,7.666690200080086
江西省,2009,7655.18,17335.0,0.7592952014191697,0.039803113708626055,0.512,9.760482858119124,0.4318,0,0,0,-0.4155154439616658,5.262690188904886,7.879669914604289
江西省,2010,9451.26,21253.0,0.6723846936810541,0.023901575028091492,0.542,9.964253340858692,0.44060000000000005,0,0,0,-0.4942963218147801,5.7745515455444085,8.053251153549096
江西省,2011,11702.82,26150.0,0.5920089269082154,0.01820928630877002,0.546,10.171604469493069,0.457,0,0,0,-0.5108256237659907,6.12029741895095,8.330381569349418
江西省,2012,12948.88,28800.0,0.5585749431611073,0.015630695473276456,0.536,10.268130666124037,0.47509999999999997,0,0,0,-0.4942963218147801,6.3784261836515865,8.464846711044029
江西省,2013,14338.5,31771.0,0.5288558775325174,0.010663598005370157,0.535,10.366309203003638,0.48869999999999997,0,1,0,-0.5621189181535413,6.55250788703459,8.556990661290303
江西省,2014,15714.63,34674.0,0.5125796789361251,0.00827254602876428,0.525,10.453745405545833,0.5022,0,1,0,-0.6348782724359695,6.71295620067707,8.573195381531523
江西省,2015,16723.78,36724.0,0.5036540782048078,0.007093964402784539,0.5029706,10.511185771263591,0.5162,0,1,0,-0.7133498878774648,7.19668657083435,8.586346050104554
江西省,2016,18499.0,40400.0,0.47191740094059137,0.012425536515487324,0.47729999999999995,10.606585063949241,0.531,0,1,0,-0.7985076962177716,7.387090235656757,8.64979915596426
河南省,2008,18407.78,19593.0,1.0308833145550416,0.008925573860617632,0.569,9.882927638570767,0.3603,0,0,0,-0.5978370007556204,6.311734809152915,7.757478766584179
河南省,2009,19480.46,20597.0,1.0138999577012042,0.007648690020666864,0.565,9.932900713104477,0.377,0,0,0,-0.579818495252942,6.610696044717759,7.888334500738654
河南省,2010,23092.36,24446.0,0.9283484996769494,0.007114907268031505,0.573,10.104221882337209,0.385,0,0,0,-0.616186139423817,6.97914527506881,8.020270472819238
河南省,2011,26931.03,28661.0,0.8563312858810079,0.006902818050405054,0.573,10.263292592608767,0.406,0,0,0,-0.5978370007556204,7.254177846456518,8.160803920954665
河南省,2012,29599.31,31499.0,0.7989075995352595,0.007060975407872683,0.563,10.357711078278063,0.4243,0,0,0,-0.616186139423817,7.4949862339505335,8.25088114470065
河南省,2013,32155.86,34174.0,0.6813377095185761,0.007631579438397854,0.5539999999999999,10.43922040000822,0.43799999999999994,0,1,0,-0.6539264674066639,7.534228326274089,8.344029572407049
河南省,2014,34938.24,37072.0,0.6551560696818157,0.004754103240460882,0.51,10.520617246672158,0.452,0,1,0,-0.6931471805599453,7.714677473800927,8.38160253710989
河南省,2015,37002.16,39122.61,0.6038296142711668,0.003943534647707052,0.484225,10.574455839714632,0.4685,0,1,0,-0.7765287894989963,7.940583827104244,8.436200032206706
河南省,2016,40471.79,42575.0,0.5515693770895728,0.005863837502616019,0.4763,10.659022505530888,0.485,0,1,0,-0.8675005677047231,8.07153089355666,8.509967146324497
湖北省,2008,11330.38,19860.0,1.1336527053814613,0.01576293116382681,0.43799999999999994,9.896462937599164,0.452,1,0,0,-0.40047756659712525,6.47543271670409,8.006700845440367
湖北省,2009,12961.1,22677.0,1.057611429585452,0.01529191195191766,0.466,10.029106473960287,0.46,1,0,0,-0.3856624808119846,6.6293632534374485,8.16961956172385
湖北省,2010,15967.61,27906.0,0.9480185105973906,0.01533103576552784,0.486,10.236596998452152,0.49700000000000005,1,0,0,-0.3856624808119846,7.029087564149662,8.22764270790443
湖北省,2011,19632.26,34197.0,0.8444889875134092,0.016437231373260135,0.5,10.439893199904889,0.518,1,0,0,-0.3856624808119846,7.1853870155804165,8.408716715080153
湖北省,2012,22250.45,38572.0,0.7943506365039809,0.014210948542613743,0.503,10.560281903630274,0.535,1,0,0,-0.4155154439616658,7.489412083508719,8.525756422076725
湖北省,2013,24668.49,42613.0,0.6365610542031555,0.015262385334489464,0.493,10.65991465002355,0.5451,1,1,1,-0.4307829160924542,7.650168700845001,8.569026340056254
湖北省,2014,27379.22,47145.0,0.5960724958563465,0.010697894242421806,0.469,10.760983237899778,0.5567,1,1,1,-0.5108256237659907,7.787796878181171,8.614864218589684
湖北省,2015,29550.18814,50653.85,0.5237530105282098,0.01526768621108346,0.4569703,10.832770518634078,0.5685,1,1,1,-0.579818495252942,7.999007213243955,8.676416696964216
湖北省,2016,32665.38,55665.0,0.4866620256675416,0.010523985944752517,0.4486,10.927106862162807,0.581,1,1,1,-0.6931471805599453,8.206037762778815,8.813438494528507
湖南省,2008,11156.64,17521.0,1.1074404229230306,0.008766080110140687,0.442,9.771155440487087,0.4215,0,0,0,-0.342490308946776,6.230481447578482,7.741533589281828
湖南省,2009,13059.69,20428.0,1.0207779327074378,0.0076571495954345006,0.435,9.924661787767535,0.43200000000000005,0,0,0,-0.3285040669720361,6.502790045915623,7.893572073504902
湖南省,2010,16037.96,24719.0,0.9278028122030483,0.0063412054899750344,0.45799999999999996,10.115327457678946,0.433,0,0,0,-0.342490308946776,6.937314081223682,8.053887083618223
湖南省,2011,19669.56,29880.0,0.8216175933777877,0.007514148765910372,0.47600000000000003,10.304944639246754,0.451,0,0,0,-0.342490308946776,7.168579897264035,8.240121298076472
湖南省,2012,22154.23,33480.0,0.7557961707538471,0.007813406288550765,0.474,10.418703524603412,0.46649999999999997,0,0,0,-0.3285040669720361,7.45876269238096,8.30622521603216
湖南省,2013,24501.67,36763.0,0.6088972710839711,0.0073097058282149754,0.47,10.51224718358581,0.4796,0,1,0,-0.37106368139083207,7.67693714581808,8.353025845202325
湖南省,2014,27037.32,40271.0,0.566513249094215,0.007926081431147761,0.462,10.603386885918606,0.4928,0,1,0,-0.4462871026284195,7.7039102096163115,8.34924780056679
湖南省,2015,28902.2139,42753.86,0.502176063405302,0.007671166671422358,0.4432471,10.663214762686454,0.5089,0,1,0,-0.5447271754416722,7.994969522697877,8.36730010184162
湖南省,2016,31551.37,46382.0,0.4705025487007379,0.006460258302571331,0.4228,10.744666731915155,0.5275,0,1,0,-0.6539264674066639,8.09437844497296,8.442469645220301
