地区,时间,能源消费量（万吨标煤）
四川,2018,19916
贵州,2008,7083.98672
贵州,2009,7566.32969
贵州,2010,8175.43342
贵州,2011,9067.85009
贵州,2012,9878.37888
贵州,2013,9299
贵州,2014,9709
贵州,2015,9344
贵州,2016,9606
贵州,2017,9846
贵州,2018,10036
云南,2008,7510.82009
云南,2009,8032.06167
云南,2010,8674.17006
云南,2011,9540.28003
云南,2012,10433.6832
云南,2013,10072
云南,2014,10455
云南,2015,10425
云南,2016,10726
云南,2017,11164
云南,2018,11590
陕西,2008,7417.45634
陕西,2009,8043.59996
陕西,2010,8882.11185
陕西,2011,9760.76863
陕西,2012,10625.70991
陕西,2013,10610
陕西,2014,11222
陕西,2015,11746
陕西,2016,12146
陕西,2017,12549
陕西,2018,12900
甘肃,2008,5346.32813
甘肃,2009,5481.59929
甘肃,2010,5923.12788
甘肃,2011,6495.77692
甘肃,2012,7007.04113
甘肃,2013,7287
甘肃,2014,7521
甘肃,2015,7489
甘肃,2016,7300
甘肃,2017,7504
甘肃,2018,7823
青海,2008,2279.15027
青海,2009,2348.1738
青海,2010,2568.26358
青海,2011,3189.03018
青海,2012,3524.06
青海,2013,3768
青海,2014,3992
青海,2015,4125
青海,2016,4101
青海,2017,4193
青海,2018,4364
宁夏,2008,3229.25748
宁夏,2009,3387.65411
宁夏,2010,3681.09796
宁夏,2011,4316.33028
宁夏,2012,4562.38946
宁夏,2013,4781
宁夏,2014,4946
宁夏,2015,5438
宁夏,2016,5591
宁夏,2017,6461
宁夏,2018,7100
新疆,2008,7069.38862
新疆,2009,7525.55803
新疆,2010,8290.20168
新疆,2011,9926.5031
新疆,2012,11831.38641
新疆,2013,13632
新疆,2014,14926
新疆,2015,15666
新疆,2016,16302
新疆,2017,17386
新疆,2018,17694
